Datum,Day_Ahead_Price €/MWh,Wärmebedarf MW,CO2_consumption_based kgCO2/MWh,WRG1Q MW,WRG1_T °C
2023-01-01 00:00:00,55.0,13.0,120.0,1.2,55.0
2023-01-01 01:00:00,57.588,12.915,116.118,1.417,59.0
2023-01-01 02:00:00,60.0,12.665,112.5,1.417,61.928
2023-01-01 03:00:00,62.071,12.268,109.393,1.2,63.0
2023-01-01 04:00:00,63.66,11.75,107.01,0.983,61.928
2023-01-01 05:00:00,64.659,11.147,105.511,0.983,59.0
2023-01-01 06:00:00,65.0,10.5,105.0,1.2,55.0
2023-01-01 07:00:00,64.659,9.853,105.511,1.417,51.0
2023-01-01 08:00:00,63.66,9.25,107.01,1.417,48.072
2023-01-01 09:00:00,62.071,8.732,109.393,1.2,47.0
2023-01-01 10:00:00,60.0,8.335,112.5,0.983,48.072
2023-01-01 11:00:00,57.588,8.085,116.118,0.983,51.0
2023-01-01 12:00:00,55.0,8.0,120.0,1.2,55.0
2023-01-01 13:00:00,52.412,8.085,123.882,1.417,59.0
2023-01-01 14:00:00,50.0,8.335,127.5,1.417,61.928
2023-01-01 15:00:00,47.929,8.732,130.607,1.2,63.0
2023-01-01 16:00:00,46.34,9.25,132.99,0.983,61.928
2023-01-01 17:00:00,45.341,9.853,134.489,0.983,59.0
2023-01-01 18:00:00,45.0,10.5,135.0,1.2,55.0
2023-01-01 19:00:00,45.341,11.147,134.489,1.417,51.0
2023-01-01 20:00:00,46.34,11.75,132.99,1.417,48.072
2023-01-01 21:00:00,47.929,12.268,130.607,1.2,47.0
2023-01-01 22:00:00,50.0,12.665,127.5,0.983,48.072
2023-01-01 23:00:00,52.412,12.915,123.882,0.983,51.0
