Datum,strompreis_EUR_MWh,grid_co2_kg_MWh,plant_charge_EUR_MW_h,j_central_charge_EUR_MW_h,j_north_charge_EUR_MW_h,j_south_charge_EUR_MW_h,zone_01_charge_EUR_MW_h,zone_02_charge_EUR_MW_h,zone_03_charge_EUR_MW_h
2023-01-01 00:00:00,60.0,400.0,0.0,6.50,5.80,8.20,6.20,5.80,8.50
2023-01-01 01:00:00,59.0,410.0,0.0,6.60,5.90,8.30,6.30,5.90,8.60
2023-01-01 02:00:00,58.0,420.0,0.0,6.70,6.00,8.40,6.40,6.00,8.70
2023-01-01 03:00:00,57.0,408.0,0.0,6.80,6.10,8.50,6.50,6.10,8.80
2023-01-01 04:00:00,56.0,395.0,0.0,6.90,6.20,8.60,6.60,6.20,8.90
2023-01-01 05:00:00,55.0,385.0,0.0,5.20,4.80,6.50,5.00,4.80,6.80
2023-01-01 06:00:00,54.0,375.0,0.0,4.50,4.10,5.80,4.20,4.10,6.00
2023-01-01 07:00:00,60.0,365.0,0.0,4.20,3.80,5.50,3.90,3.80,5.70
2023-01-01 08:00:00,62.0,358.0,0.0,3.80,3.40,5.10,3.50,3.40,5.30
2023-01-01 09:00:00,65.0,352.0,0.0,3.50,3.10,4.80,3.20,3.10,5.00
2023-01-01 10:00:00,68.0,348.0,0.0,3.40,3.00,4.70,3.10,3.00,4.90
2023-01-01 11:00:00,70.0,345.0,0.0,3.50,3.10,4.80,3.20,3.10,5.00
2023-01-01 12:00:00,65.0,350.0,0.0,3.20,2.80,4.50,2.90,2.80,4.70
2023-01-01 13:00:00,68.0,348.0,0.0,3.30,2.90,4.60,3.00,2.90,4.80
2023-01-01 14:00:00,70.0,346.0,0.0,3.40,3.00,4.70,3.10,3.00,4.90
2023-01-01 15:00:00,72.0,343.0,0.0,3.60,3.20,4.90,3.30,3.20,5.10
2023-01-01 16:00:00,75.0,340.0,0.0,3.80,3.40,5.10,3.50,3.40,5.30
2023-01-01 17:00:00,78.0,338.0,0.0,4.50,4.10,5.80,4.20,4.10,6.00
2023-01-01 18:00:00,80.0,336.0,0.0,7.50,6.80,9.00,7.20,6.80,9.30
2023-01-01 19:00:00,85.0,335.0,0.0,8.20,7.50,9.70,7.90,7.50,10.00
2023-01-01 20:00:00,88.0,334.0,0.0,8.90,8.10,10.40,8.60,8.10,10.70
2023-01-01 21:00:00,90.0,333.0,0.0,8.50,7.70,9.80,8.20,7.70,10.10
2023-01-01 22:00:00,87.0,332.0,0.0,7.80,7.10,9.10,7.50,7.10,9.40
2023-01-01 23:00:00,82.0,331.0,0.0,7.20,6.50,8.50,6.90,6.50,8.80
