Datum,strompreis_EUR_MWh,grid_co2_kg_MWh,T_outdoor_C,T_ground_C,T_WRG1_C,WRG1_Q_MW,T_WRG2_C,WRG2_Q_MW,T_WRG3_C,WRG3_Q_MW,T_WRG4_C,WRG4_Q_MW,demand_north_MW,demand_south_MW,demand_east_MW,demand_west_MW,waermebedarf_MWth,zone_01_demand_MWth,zone_02_demand_MWth,zone_03_demand_MWth,zone_04_demand_MWth,zone_05_demand_MWth,zone_06_demand_MWth,zone_07_demand_MWth,zone_08_demand_MWth,zone_09_demand_MWth,zone_10_demand_MWth,zone_11_demand_MWth,zone_12_demand_MWth,zone_13_demand_MWth,zone_14_demand_MWth,zone_15_demand_MWth,zone_16_demand_MWth,zone_17_demand_MWth,zone_18_demand_MWth,zone_19_demand_MWth,zone_20_demand_MWth,zone_21_demand_MWth,zone_22_demand_MWth,zone_23_demand_MWth
2023-01-01 00:00:00,60.0,400.0,6.9753,10.0,11.3592,5.0,13.199,3.5,8.5487,4.2,13.1646,3.8,12.2448,13.9616,12.0486,12.5998,50.8548,3.1512,2.583,2.1315,2.1507,2.2284,3.3362,2.8019,2.1225,2.1332,2.0472,1.5206,3.0273,2.396,1.8999,1.9248,1.4186,1.382,2.8363,2.4159,2.3251,1.9924,1.515,1.5151
2023-01-01 01:00:00,60.0,410.3528,6.561,10.0,10.3425,5.0,14.2072,3.5,8.8757,4.2,13.1071,3.8,12.0469,13.6814,11.779,12.2892,49.7965,3.0434,2.6982,2.1099,2.0957,2.0997,3.2714,2.6654,2.1274,2.0814,2.0167,1.5191,2.8691,2.3702,1.8993,1.8538,1.4051,1.3815,2.8069,2.2715,2.3403,1.9191,1.4527,1.4987
2023-01-01 02:00:00,60.0,420.0,4.9386,10.0,10.071,5.0,15.6759,3.5,8.6652,4.2,11.035,3.8,12.5099,13.6695,12.0136,13.1068,51.2998,3.1801,2.7106,2.2284,2.1991,2.1917,3.2284,2.662,2.1744,2.0961,2.0466,1.462,2.969,2.3481,1.8836,1.9486,1.4307,1.4336,2.9281,2.507,2.5474,2.0147,1.5262,1.5834
2023-01-01 03:00:00,60.0,428.2843,5.0699,10.0,10.2184,5.0,13.7226,3.5,8.122,4.2,12.2944,3.8,13.0926,13.9292,12.3132,13.7222,53.0572,3.3604,2.8125,2.3479,2.3316,2.2402,3.3798,2.7268,2.2035,2.0992,2.0296,1.4903,2.9916,2.4172,1.9638,2.0052,1.4668,1.4686,3.1381,2.5896,2.58,2.1044,1.6165,1.6936
2023-01-01 04:00:00,65.0,434.641,4.4851,10.0,11.6958,5.0,13.2056,3.5,9.947,4.2,11.6288,3.8,12.2449,12.862,11.4413,13.2113,49.7595,3.2543,2.6631,2.081,2.1007,2.1458,3.0816,2.5825,2.0097,1.8667,1.9132,1.4083,2.7583,2.2451,1.8415,1.7912,1.3897,1.4155,2.9783,2.5234,2.4861,2.0574,1.5404,1.6257
2023-01-01 05:00:00,72.2354,438.637,4.3484,10.0,12.5323,5.0,15.3374,3.5,8.1881,4.2,17.3545,3.8,12.6196,13.0184,12.0254,13.8916,51.555,3.4003,2.7371,2.2134,2.181,2.0878,3.181,2.5605,2.0342,1.964,1.8662,1.4125,2.7512,2.4336,1.9532,1.9711,1.4547,1.4616,3.1409,2.6839,2.6036,2.1686,1.6088,1.6858
2023-01-01 06:00:00,80.0,440.0,4.1446,10.0,12.4034,5.0,15.3399,3.5,10.3909,4.2,15.7214,3.8,13.967,14.4025,13.6759,15.5952,57.6406,3.7898,3.0226,2.4344,2.4036,2.3166,3.526,2.7988,2.165,2.1736,2.1739,1.5652,3.1534,2.7633,2.1889,2.1964,1.6891,1.6848,3.4666,2.9678,3.0626,2.4322,1.8382,1.8278
2023-01-01 07:00:00,87.7646,438.637,5.3299,10.0,13.5044,5.0,13.8361,3.5,9.7495,4.2,16.3931,3.8,13.9004,14.1937,13.9159,16.081,58.091,3.7515,3.0168,2.4667,2.4129,2.2525,3.3392,2.8012,2.1402,2.102,2.1998,1.6113,3.2217,2.7713,2.2568,2.2155,1.6889,1.7617,3.5937,3.0544,3.1406,2.5254,1.9321,1.8348
2023-01-01 08:00:00,95.0,434.641,4.0831,10.0,11.876,5.0,13.9079,3.5,9.3721,4.2,15.2933,3.8,13.2383,13.7277,13.9961,15.8066,56.7687,3.5715,2.9158,2.3576,2.225,2.1684,3.2388,2.6484,2.0726,2.0543,2.1448,1.5688,3.26,2.7079,2.1417,2.3188,1.7595,1.8082,3.6693,3.0846,2.9944,2.4468,1.8032,1.8083
2023-01-01 09:00:00,101.2132,428.2843,4.6132,10.0,14.7571,5.0,15.3141,3.5,8.0349,4.2,11.5919,3.8,14.0788,14.9468,15.221,17.0594,61.306,3.7227,3.0991,2.5153,2.3568,2.3849,3.4444,2.8278,2.3247,2.3285,2.2765,1.7449,3.4221,2.936,2.4995,2.4956,1.9058,1.962,3.8242,3.3123,3.3087,2.693,1.9284,1.9928
