;SOC_MWh
1;499.95
2;499.900005
3;499.85001499950005
4;499.8000299980001
5;499.7500499950003
6;499.7000749900008
7;499.65010498250183
8;499.6001399720036
9;499.5501799580064
10;499.50022494001064
11;499.45027491751665
12;499.4003298900249
13;499.3503898570359
14;499.3004548180502
15;499.2505247725684
16;499.20059972009113
17;499.1506796601191
18;499.1007645921531
19;499.0508545156939
20;499.0009494302424
21;498.95104933529933
22;498.9011542303658
23;498.8512641149428
24;498.8013789885313
25;498.75149885063246
26;498.7016237007474
27;498.65175353837736
28;498.60188836302353
29;498.5520281741872
30;498.5021729713698
31;498.45232275407267
32;498.40247752179727
33;498.3526372740451
34;498.3028020103177
35;498.25297173011666
36;498.20314643294364
37;498.15332611830036
38;498.1035107856885
39;498.05370043460994
40;498.0038950645665
41;497.95409467506005
42;497.90429926559256
43;497.854508835666
44;497.80472338478245
45;497.754942912444
46;497.70516741815277
47;497.65539690141094
48;497.6056313617208
49;497.55587079858464
50;497.5061152115048
51;497.45636459998366
52;497.40661896352367
53;497.3568783016273
54;497.30714261379717
55;497.2574118995358
56;497.20768615834584
57;497.15796538973
58;497.10824959319103
59;497.0585387682317
60;497.00883291435485
61;496.9591320310634
62;496.9094361178603
63;496.85974517424853
64;496.8100591997311
65;496.7603781938111
66;496.7107021559917
67;496.66103108577613
68;496.61136498266757
69;496.5617038461693
70;496.5120476757847
71;496.4623964710171
72;496.41275023137
73;496.3631089563469
74;496.31347264545127
75;496.2638412981867
76;496.2142149140569
77;496.16459349256553
78;496.1149770332163
79;496.06536553551297
80;496.0157589989594
81;495.96615742305954
82;495.91656080731724
83;495.8669691512365
84;495.8173824543214
85;495.76780071607595
86;495.71822393600434
87;495.66865211361073
88;495.61908524839936
89;495.56952333987454
90;495.51996638754053
91;495.4704143909018
92;495.4208673494627
93;495.37132526272774
94;495.32178813020147
95;495.27225595138844
96;495.22272872579333
97;495.17320645292074
98;495.12368913227544
99;495.07417676336223
100;495.0246693456859
101;494.97516687875134
102;494.92566936206345
103;494.87617679512726
104;494.82668917744775
105;494.77720650853
106;494.7277287878792
107;494.6782560150004
108;494.6287881893989
109;494.57932531058
110;494.52986737804895
111;494.4804143913112
112;494.43096634987205
113;494.38152325323705
114;494.33208510091174
115;494.28265189240165
116;494.2332236272124
