timestep;heat_demand_MW;electricity_purchase_MW;grid_co2_intensity_kgMWh;network_loss_MW;storage_SOC_MWh;j1_to_j2_m_dot;j1_to_j2_velocity;j1_to_j2_delta_p_total;j1_to_j2_Q_consumer;j2_to_j3_m_dot;j2_to_j3_velocity;j2_to_j3_delta_p_total;j2_to_j3_Q_consumer;j3_to_j4_m_dot;j3_to_j4_velocity;j3_to_j4_delta_p_total;j3_to_j4_Q_consumer;j3_to_j9_m_dot;j3_to_j9_velocity;j3_to_j9_delta_p_total;j3_to_j9_Q_consumer;j4_to_j5_m_dot;j4_to_j5_velocity;j4_to_j5_delta_p_total;j4_to_j5_Q_consumer;j5_to_j6_m_dot;j5_to_j6_velocity;j5_to_j6_delta_p_total;j5_to_j6_Q_consumer;j5_to_j7_m_dot;j5_to_j7_velocity;j5_to_j7_delta_p_total;j5_to_j7_Q_consumer;j7_to_j8_m_dot;j7_to_j8_velocity;j7_to_j8_delta_p_total;j7_to_j8_Q_consumer;j9_to_j10_m_dot;j9_to_j10_velocity;j9_to_j10_delta_p_total;j9_to_j10_Q_consumer;j10_to_j11_m_dot;j10_to_j11_velocity;j10_to_j11_delta_p_total;j10_to_j11_Q_consumer;j11_to_j12_m_dot;j11_to_j12_velocity;j11_to_j12_delta_p_total;j11_to_j12_Q_consumer;j12_to_j13_m_dot;j12_to_j13_velocity;j12_to_j13_delta_p_total;j12_to_j13_Q_consumer;j13_to_j14_m_dot;j13_to_j14_velocity;j13_to_j14_delta_p_total;j13_to_j14_Q_consumer;j13_to_j15_m_dot;j13_to_j15_velocity;j13_to_j15_delta_p_total;j13_to_j15_Q_consumer;j_1_T_supply;j_1_T_return;j_2_T_supply;j_2_T_return;j_2_Q_demand;j_2_m_dot_demand;j_3_T_supply;j_3_T_return;j_3_Q_demand;j_3_m_dot_demand;j_4_T_supply;j_4_T_return;j_4_Q_demand;j_4_m_dot_demand;j_5_T_supply;j_5_T_return;j_5_Q_demand;j_5_m_dot_demand;j_6_T_supply;j_6_T_return;j_6_Q_demand;j_7_T_supply;j_7_T_return;j_7_Q_demand;j_7_m_dot_demand;j_8_T_supply;j_8_T_return;j_8_Q_demand;j_9_T_supply;j_9_T_return;j_9_Q_demand;j_9_m_dot_demand;j_10_T_supply;j_10_T_return;j_10_Q_demand;j_10_m_dot_demand;j_11_T_supply;j_11_T_return;j_11_Q_demand;j_11_m_dot_demand;j_12_T_supply;j_12_T_return;j_12_Q_demand;j_12_m_dot_demand;j_13_T_supply;j_13_T_return;j_13_Q_demand;j_13_m_dot_demand;j_14_T_supply;j_14_T_return;j_14_Q_demand;j_15_T_supply;j_15_T_return;j_15_Q_demand
1;10.046439259274385;0.00017773505667771248;170.32;0.058589999999999996;489.4183902533954;39.602003739745115;0.057065229982111006;0.0031871538021923706;9.946439259274383;38.40754602354827;0.05534405433840812;0.0088314980327247;9.646439259274384;15.819305573524115;0.02279511705122258;0.003152516187935036;3.9731767878463167;21.791935305892924;0.03140148685805028;0.007516313343682248;5.473262471428066;9.511983155620033;0.013706465711396774;0.0017497615801783115;2.3890296893655276;6.054847477321023;0.008724842966800667;0.0006961310877766488;1.5207354924039482;0.7963051441312311;0.0011474504291352613;0.00013427611404774335;0.2;0.39815257206561555;0.0005737252145676307;2.441383891777152e-05;0.1;20.995630161761692;0.03025403642891502;0.0032185145137143636;5.273262471428066;20.597477589696076;0.029680311214347388;0.0036311019038829254;5.173262471428067;20.19932501763046;0.029106585999779756;0.003870556648906883;5.073262471428066;19.004867301433613;0.027385410356076865;0.003204675679966442;4.773262471428066;6.70067673839701;0.009655462426226918;0.0009244591684685346;1.682941969615793;1.0051015107595513;0.0014483193639340374;9.629783004880569e-05;0.25244129544236893;60.0;30.0;100.0;40.0;0.3;1.1944577161968466;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;1.5841470984807895;6.307322417904083;100.0;40.0;0.6682941969615793;2.660830534167779;100.0;40.0;1.5207354924039482;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.30000000000000004;1.1944577161968468;100.0;40.0;2.8378792063699048;11.299089052277054;100.0;40.0;1.682941969615793;100.0;40.0;0.25244129544236893
2;11.020331168455732;0.00019513774010685141;158.82;0.058589999999999996;477.81268928967984;43.47957942528958;0.0626526934277185;0.003499219579739596;10.92033116845573;42.285121709092735;0.0609315177840156;0.009723114540002489;10.620331168455731;16.192544478509067;0.023332942462563105;0.0032268962980140452;4.066919471222337;25.29627208645244;0.03645112489231724;0.008725003298692956;6.353411697233395;9.838567197481865;0.014177062946319733;0.001809837822934434;2.471054537319545;6.288121792936618;0.009060983848888496;0.0007229508390070609;1.5793246695139609;0.7963051441312311;0.0011474504291352613;0.00013427611404774335;0.2;0.39815257206561555;0.0005737252145676307;2.441383891777152e-05;0.1;24.49996694232121;0.03530367446318198;0.0037557100492746783;6.153411697233395;24.101814370255592;0.03472994924861435;0.0042488767697772874;6.053411697233394;23.703661798189977;0.034156224034046716;0.0045420510683572765;5.953411697233395;22.50920408199313;0.03243504839034382;0.0037955907690827876;5.653411697233394;7.633774000859385;0.011000025954578233;0.0010531939743745114;1.9172986780558432;1.1450661001289077;0.0016500038931867348;0.00010970770566401164;0.2875948017083765;60.0;30.0;100.0;40.0;0.3;1.1944577161968466;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;1.5958649339027922;6.353977281027203;100.0;40.0;0.6917298678055843;2.754140260414016;100.0;40.0;1.5793246695139609;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.30000000000000004;1.1944577161968468;100.0;40.0;3.4485182174691755;13.730363981004839;100.0;40.0;1.9172986780558432;100.0;40.0;0.2875948017083765
3;8.103625269046228;0.0015890944082873023;160.92;0.058589999999999996;469.27836563228124;31.8666398672011;0.04591881624802458;0.00854871579085564;8.003625269046228;30.672182151004254;0.044197640604321686;0.007052814990051333;7.703625269046229;14.87587082826941;0.021435657538393882;0.002964505829777876;3.7362237172281447;15.000006178603613;0.021614532636792548;0.005173691322636513;3.7674015518180832;8.686477753522164;0.012516938637671662;0.001597907060128297;2.1816957525746266;5.465200761536831;0.00787518077128273;0.0006283388913257496;1.3726398232675905;0.7963051441312311;0.0011474504291352613;0.00013427611404774335;0.2;0.39815257206561555;0.0005737252145676307;2.441383891777152e-05;0.1;14.203701034472381;0.020467082207657285;0.0021773491710273705;3.567401551818083;13.805548462406765;0.019893356993089653;0.002433761759792883;3.467401551818083;13.40739589034115;0.01931963177852202;0.0025690999705481415;3.367401551818083;12.212938174144304;0.01759845613481913;0.0020593938030107495;3.067401551818083;4.342089875260242;0.006256813644155173;0.0005990566255042186;1.0905592930703623;0.6513134812890362;0.0009385220466232758;6.240173182335611e-05;0.16358389396055434;60.0;30.0;100.0;40.0;0.3;1.1944577161968466;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;1.5545279646535182;6.189393074747246;100.0;40.0;0.6090559293070362;2.424971847854102;100.0;40.0;1.3726398232675905;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.30000000000000004;1.1944577161968468;100.0;40.0;1.813258364787166;7.219534817595024;100.0;40.0;1.0905592930703623;100.0;40.0;0.16358389396055434
4;10.748448724700642;0.0061100834179377474;158.5;0.058589999999999996;457.96087071708575;42.39707248248384;0.06109283529391289;0.019335232446743705;10.648448724700641;41.202614766287;0.059371659650210004;0.009474201008012233;10.348448724700642;16.09531021127387;0.023192830970771343;0.0032075191768088014;4.042498112663545;24.310999410881898;0.0350313782503034;0.008385170325870493;6.105950612037097;9.753487213651066;0.014054465391001941;0.0017941870711917372;2.449685848580602;6.227350375914619;0.008973414166518645;0.0007159638962647854;1.5640613204147156;0.7963051441312311;0.0011474504291352613;0.00022826939388116373;0.2;0.39815257206561555;0.0005737252145676307;2.441383891777152e-05;0.1;23.514694266750666;0.033883927821168135;0.003604673172464695;5.905950612037097;23.11654169468505;0.0333102026066005;0.004075184361445806;5.805950612037098;22.718389122619435;0.03273647739203287;0.0043532549723447975;5.705950612037097;21.523931406422587;0.03101530174832998;0.003629450204591806;5.405950612037097;7.39068833277139;0.010649747225098828;0.0010196566492115897;1.8562452816588622;1.1086032499157086;0.0015974620837648243;0.00010621423429287397;0.27843679224882933;60.0;30.0;100.0;40.0;0.3;1.1944577161968466;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;1.592812264082943;6.341822997622802;100.0;40.0;0.6856245281658863;2.7298316936052167;100.0;40.0;1.5640613204147156;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.30000000000000004;1.1944577161968468;100.0;40.0;3.2712685381294055;13.02463982373549;100.0;40.0;1.8562452816588622;100.0;40.0;0.27843679224882933
5;10.086216954669775;0.005730094608165777;154.3;0.058589999999999996;447.34159362509854;39.760379657070295;0.05729344465036828;0.018132765727111238;9.986216954669775;38.56592194087345;0.05557226900666539;0.008867915267021072;9.686216954669776;15.835910044315682;0.022819043566423145;0.0031558251740797954;3.9773471667303264;21.933706752426538;0.031605775011106986;0.007565212103722417;5.5088697879394495;9.526512067562653;0.01372740141219727;0.0017524342228336938;2.392678770889036;6.065225271565751;0.00873979703880102;0.0006973242318192303;1.523341979206454;0.7963051441312311;0.0011474504291352613;0.00013427611404774335;0.2;0.39815257206561555;0.0005737252145676307;2.441383891777152e-05;0.1;21.137401608295306;0.030458324581971723;0.0032402472959544384;5.308869787939449;20.73924903622969;0.02988459936740409;0.0036560946034590114;5.208869787939449;20.341096464164075;0.029310874152836463;0.003897722626706977;5.108869787939449;19.146638747967227;0.027589698509133568;0.003228581740430524;4.808869787939448;6.7421879153759185;0.009715278714228328;0.000930186259872925;1.6933679168258156;1.0113281873063875;0.0014572918071342489;9.689440207009634e-05;0.2540051875238723;60.0;30.0;100.0;40.0;0.3;1.1944577161968466;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;1.5846683958412908;6.30939797675303;100.0;40.0;0.6693367916825815;2.6649816518656695;100.0;40.0;1.523341979206454;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.30000000000000004;1.1944577161968468;100.0;40.0;2.8614966835897615;11.393122645284924;100.0;40.0;1.6933679168258156;100.0;40.0;0.2540051875238723
6;9.005605734970295;0.0051100395310832505;149.54;0.058589999999999996;437.860863955241;35.45789829180719;0.051093705611505544;0.016170614275981807;8.905605734970294;34.263440575610346;0.049372529967802656;0.007878595207628082;8.605605734970295;15.344682199266721;0.022111199838728064;0.0030579318925900503;3.8539703811678296;18.122453232212393;0.026113879699939325;0.006250662694134413;4.551635353802465;9.096687703144813;0.013108038150464074;0.001673366572399669;2.284724083521851;5.7582078684101505;0.008297394708991594;0.0006620261735897548;1.4462314882298934;0.7963051441312311;0.0011474504291352613;0.00013427611404774335;0.2;0.39815257206561555;0.0005737252145676307;2.441383891777152e-05;0.1;17.326148088081162;0.024966429270804065;0.0026560031139153256;4.351635353802465;16.927995516015546;0.024392704056236433;0.002984213794114032;4.251635353802464;16.52984294394993;0.0238189788416688;0.0031674173991580856;4.151635353802464;15.335385227753084;0.02209780319796591;0.0025859131401875005;3.8516353538024646;5.51411830275352;0.00794566939499063;0.0007607555803714432;1.384925952919574;0.827117745413028;0.0011918504092485944;7.924537295535869e-05;0.2077388929379361;60.0;30.0;100.0;40.0;0.3;1.1944577161968466;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;1.5692462976459787;6.247994496121909;100.0;40.0;0.6384925952919575;2.5421746906034297;100.0;40.0;1.4462314882298934;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.30000000000000004;1.1944577161968468;100.0;40.0;2.2589705079449547;8.994149179586536;100.0;40.0;1.384925952919574;100.0;40.0;0.2077388929379361
7;11.09561475734919;0.006309287402874696;144.63;0.058589999999999996;426.18107286110944;43.779322970812196;0.06308461435963171;0.019965609331904714;10.995614757349191;42.58486525461535;0.06136343871592882;0.009792038092967364;10.695614757349192;16.218529009739232;0.02337038534702853;0.003232074569269902;4.073445746086105;25.570031100744885;0.03684560293976502;0.008819426235582052;6.422169011263085;9.86130366230826;0.014209825470226983;0.001814020272794934;2.4767650278253424;6.30436212495547;0.009084385651679388;0.0007248180041233553;1.5834035913038158;0.7963051441312311;0.0011474504291352613;0.00013427611404774335;0.2;0.39815257206561555;0.0005737252145676307;2.441383891777152e-05;0.1;24.773725956613653;0.03569815251062976;0.0037976757990031656;6.222169011263085;24.375573384548037;0.035124427296062126;0.004297137381965048;6.122169011263085;23.97742081248242;0.034550702081494494;0.004594508255517886;6.022169011263085;22.782963096285574;0.032829526437791606;0.003841753093784124;5.722169011263085;7.698735328934795;0.011093633165741797;0.0010621563669327252;1.933614365215263;1.1548102993402192;0.0016640449748612696;0.0001106412882221589;0.29004215478228945;60.0;30.0;100.0;40.0;0.3;1.1944577161968466;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;1.5966807182607632;6.357225347430973;100.0;40.0;0.6933614365215264;2.7606363932215574;100.0;40.0;1.5834035913038158;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.30000000000000004;1.1944577161968468;100.0;40.0;3.4985124912655325;13.929417468010561;100.0;40.0;1.933614365215263;100.0;40.0;0.29004215478228945
8;9.761590869039601;0.005543824052314823;138.43;0.058589999999999996;415.9066854179922;38.46787254753783;0.05543098294404407;0.01754331641048203;9.661590869039602;37.273414831340986;0.05370980730034118;0.008570713930905506;9.361590869039603;15.697037107406302;0.022618932073704117;0.0031281501804058874;3.942467839896167;20.78007257980345;0.029943424797501794;0.007167309127061599;5.219123029143434;9.404998247766946;0.013552303856068119;0.001730081343327845;2.362159359909146;5.978429685997389;0.008614727355851627;0.0011684869551820028;1.501542399935104;0.7963051441312311;0.0011474504291352613;0.00013427611404774335;0.2;0.39815257206561555;0.0005737252145676307;2.441383891777152e-05;0.1;19.983767435672217;0.02879597436836653;0.0030634015285496306;5.019123029143434;19.5856148636066;0.0282222491537989;0.0034527219709434825;4.919123029143433;19.187462291540985;0.027648523939231267;0.003676665417450967;4.819123029143434;17.993004575344138;0.025927348295528375;0.0030340513962852354;4.519123029143434;6.395005573102471;0.00921499998243076;0.0008822872323603917;1.6061695997404164;0.9592508359653705;0.0013822499973646137;9.190492003754083e-05;0.24092543996106244;60.0;30.0;100.0;40.0;0.3;1.1944577161968466;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;1.5803084799870208;6.292038859639357;100.0;40.0;0.6606169599740417;2.630263417638325;100.0;40.0;1.501542399935104;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.30000000000000004;1.1944577161968468;100.0;40.0;2.672027989441955;10.638748166276299;100.0;40.0;1.6061695997404164;100.0;40.0;0.24092543996106244
9;9.475821585822855;0.005379849542609271;131.41;0.058589999999999996;405.9341351854263;37.33007479623688;0.053791452510740405;0.01702442247015454;9.375821585822854;36.135617080040035;0.05207027686703752;0.008309086734101731;9.075821585822855;15.568514846752283;0.02243373557682379;0.0031025378989224376;3.910188188910303;19.77079708915652;0.028489090861078464;0.006819197280577292;4.965633396912551;9.292541269694679;0.013390256921297833;0.0017093945005912127;2.3339146652965157;5.898103273088627;0.008498979545301424;0.0006781100701038369;1.4813676180689395;0.7963051441312311;0.0011474504291352613;0.00013427611404774335;0.2;0.39815257206561555;0.0005737252145676307;2.441383891777152e-05;0.1;18.97449194502529;0.027341640431943204;0.0029086851523343832;4.765633396912551;18.576339372959673;0.026767915217375572;0.003274798138295948;4.665633396912551;18.178186800894057;0.02619419000280794;0.0034832699471819073;4.565633396912551;16.98372908469721;0.024473014359105046;0.002863863382448463;4.265633396912551;6.073699921467424;0.008752008740229942;0.0014245290821863629;1.5254704722757582;0.9110549882201135;0.0013128013110344913;8.72873212123997e-05;0.2288205708413637;60.0;30.0;100.0;40.0;0.3;1.1944577161968466;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;1.576273523613788;6.275973577057605;100.0;40.0;0.6525470472275758;2.59813285247482;100.0;40.0;1.4813676180689395;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.30000000000000004;1.1944577161968468;100.0;40.0;2.5113423537954302;9.998974175009677;100.0;40.0;1.5254704722757582;100.0;40.0;0.2288205708413637
10;11.269104458750984;0.006408835851209631;122.96;0.058589999999999996;394.0749160258542;44.47007667921239;0.06407996852125189;0.02028062833518344;11.169104458750983;43.275618963015546;0.062358792877548995;0.009950871203864202;10.869104458750984;16.276878751550015;0.023454465472309855;0.0032437026717024252;4.0881008672393016;26.2024350673343;0.03775687697610388;0.009037550340024864;6.581003591511682;9.912359686392694;0.014283395579848139;0.001823412201682741;2.489588258834389;6.340830713587209;0.009136935729980212;0.0007290108295196978;1.5925630420245636;0.7963051441312311;0.0011474504291352613;0.00013427611404774335;0.2;0.39815257206561555;0.0005737252145676307;2.441383891777152e-05;0.1;25.406129923203068;0.03660942654696862;0.0038946198454221934;6.381003591511682;25.007977351137452;0.036035701332400985;0.00440862303534693;6.281003591511682;24.609824779071836;0.03546197611783336;0.00471568831354167;6.181003591511682;23.41536706287499;0.033740800474130465;0.003948391544845054;5.881003591511682;7.844609683461755;0.011303833478945105;0.0010822819288351694;1.9702521680982543;1.1766914525192633;0.001695575021841766;0.00011273770092033019;0.29553782521473815;60.0;30.0;100.0;40.0;0.3;1.1944577161968466;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;1.5985126084049126;6.36451906515732;100.0;40.0;0.6970252168098254;2.775223828674253;100.0;40.0;1.5925630420245636;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;100.0;40.0;0.2;0.7963051441312311;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.1;0.39815257206561555;100.0;40.0;0.30000000000000004;1.1944577161968468;100.0;40.0;3.61521359819869;14.39406592689397;100.0;40.0;1.9702521680982543;100.0;40.0;0.29553782521473815
