level,pipe,length_m,heat_loss_MWh
L2,j1_to_north,2500.0,428.65
L2,j1_to_south,1800.0,308.63
L2,plant_to_j1,1200.0,205.75
L2,plant_to_industrial,800.0,137.17
L3,central_to_south,1000.0,171.46
L3,central_to_north,800.0,137.17
L3,north_to_z05,700.0,120.02
L3,central_to_west,700.0,120.02
L3,north_to_z03,600.0,102.88
L3,central_to_east,600.0,102.88
L3,east_to_z16,600.0,102.88
L3,south_to_z09,600.0,102.88
L3,west_to_z23,600.0,102.88
L3,south_to_z11,550.0,94.3
L3,west_to_z22,550.0,94.3
L3,plant_to_central,500.0,85.73
L3,north_to_z04,500.0,85.73
L3,west_to_z21,500.0,85.73
L3,south_to_z08,500.0,85.73
L3,east_to_z15,500.0,85.73
L3,east_to_z17,450.0,77.16
L3,south_to_z10,450.0,77.16
L3,north_to_z02,450.0,77.16
L3,south_to_z06,400.0,68.58
L3,east_to_z13,400.0,68.58
L3,west_to_z19,400.0,68.58
L3,west_to_z20,350.0,60.01
L3,south_to_z07,350.0,60.01
L3,east_to_z14,350.0,60.01
L3,north_to_z01,300.0,51.44
L3,west_to_z18,300.0,51.44
L3,east_to_z12,250.0,42.86
