Scenario,TES,HK,TAC [M€/a],LCOH [€/MWh],Δcost [%],CO₂ [t/a],Q_WP [MW],E_TES [MWh],COP
BC-MM,—,TVLFIX,0.507,51.87,-0.0,502,0.0,—,—
MM-S0-TVLFIX,—,TVLFIX,0.360,36.88,28.9,504,0.6,—,3.00
MM-S0-HK0,—,HK0,0.358,36.70,29.3,502,0.6,—,3.02
MM-S0-HK1,—,HK1,0.356,36.41,29.8,498,0.6,—,3.06
MM-S0-HK2,—,HK2,0.352,36.00,30.6,489,0.6,—,3.17
MM-S1-HK0,S1,HK0,0.350,35.86,30.9,539,0.6,2.8,3.02
MM-S1-HK1,S1,HK1,0.345,35.34,31.9,538,0.6,1.4,3.06
MM-S1-HK2,S1,HK2,0.341,34.91,32.7,531,0.7,1.4,3.17
MM-S2-HK0,S2,HK0,0.361,37.00,28.7,495,0.6,0.0,3.02
MM-S2-HK1,S2,HK1,0.356,36.48,29.7,504,0.7,0.0,3.06
MM-S2-HK2,S2,HK2,0.355,36.33,30.0,474,0.5,—,3.18
MM-S3-HK0,S3,HK0,0.342,35.06,32.4,494,0.7,5.6,2.43
MM-S3-HK1,S3,HK1,0.339,34.71,33.1,489,0.7,5.6,2.47
MM-S3-HK2,S3,HK2,0.335,34.27,33.9,480,0.7,5.6,2.55
MM-S4-HK0,—,HK0,0.331,33.92,34.6,479,0.8,5.6,3.02
MM-S4-HK1,—,HK1,0.321,32.88,36.6,469,0.8,5.6,3.09
MM-S4-HK2,—,HK2,0.312,31.97,38.4,452,0.8,5.6,3.20
MM-S5-HK0,—,HK0,0.318,32.51,37.3,476,0.9,5.6,2.46
MM-S5-HK1,—,HK1,0.308,31.51,39.3,467,0.9,8.4,2.43
MM-S5-HK2,—,HK2,0.299,30.60,41.0,452,1.0,8.4,2.56
