comparison,config,gap_cost_pct,gap_cost_eur,gap_cost_eur_per_mwh,gap_co2_t
L1cp->L3,synth_n05_L15p0km_hi0p1_s12h,44.7521,72614.77,7.4339,229.91
L1cp->L3,synth_n05_L15p0km_hi0p1_s6h,39.0189,78021.34,7.9866,250.44
L1cp->L3,synth_n05_L15p0km_hi0p4_s12h,44.7378,72572.6,7.4304,229.82
L1cp->L3,synth_n05_L15p0km_hi0p4_s6h,39.0248,78040.78,7.9886,250.34
L1cp->L3,synth_n05_L15p0km_hi0p8_s2h,35.1487,101336.69,10.3733,299.97
L1cp->L3,synth_n05_L15p0km_hi0p8_s6h,39.0105,77993.67,7.9846,250.22
L1cp->L3,synth_n05_L1p0km_hi0p4_s12h,4.7077,4428.76,0.4534,15.55
L1cp->L3,synth_n05_L1p0km_hi0p4_s2h,3.0768,5935.47,0.6076,20.61
L1cp->L3,synth_n05_L1p0km_hi0p4_s6h,3.5106,4436.47,0.4542,16.75
L1cp->L3,synth_n05_L5p0km_hi0p1_s12h,20.2344,22740.55,2.3281,75.69
L1cp->L3,synth_n05_L5p0km_hi0p1_s2h,14.7851,32440.39,3.3211,100.14
L1cp->L3,synth_n05_L5p0km_hi0p1_s6h,16.3483,23830.4,2.4394,82.52
L1cp->L3,synth_n05_L5p0km_hi0p4_s12h,20.2338,22739.68,2.328,75.69
L1cp->L3,synth_n05_L5p0km_hi0p8_s2h,14.832,32561.02,3.3331,100.51
L1cp->L3,synth_n15_L15p0km_hi0p1_s2h,34.7103,99401.02,10.1752,293.97
L1cp->L3,synth_n15_L15p0km_hi0p1_s6h,38.5216,76403.85,7.8211,245.01
L1cp->L3,synth_n15_L15p0km_hi0p4_s2h,35.1676,101420.66,10.3819,300.59
L1cp->L3,synth_n15_L15p0km_hi0p8_s12h,44.2573,71174.45,7.2872,225.16
L1cp->L3,synth_n15_L1p0km_hi0p1_s6h,3.468,4380.73,0.4485,16.33
L1cp->L3,synth_n15_L1p0km_hi0p8_s2h,3.2919,6364.47,0.6515,21.66
L1cp->L3,synth_n15_L1p0km_hi0p8_s6h,3.4566,4365.81,0.447,16.27
L1cp->L3,synth_n15_L5p0km_hi0p1_s12h,20.2032,22696.57,2.3233,75.24
L1cp->L3,synth_n15_L5p0km_hi0p1_s6h,16.0026,23230.56,2.3785,79.97
L1cp->L3,synth_n15_L5p0km_hi0p4_s2h,14.5562,31852.57,3.2609,98.15
L1cp->L3,synth_n15_L5p0km_hi0p8_s2h,14.3342,31285.45,3.2029,95.94
L1cp->L3,synth_n30_L15p0km_hi0p1_s12h,44.3053,71313.03,7.3021,224.91
L1cp->L3,synth_n30_L15p0km_hi0p1_s2h,34.7602,99619.84,10.1976,293.81
L1cp->L3,synth_n30_L15p0km_hi0p1_s6h,38.5316,76436.08,7.8252,245.56
L1cp->L3,synth_n30_L15p0km_hi0p4_s12h,44.2842,71251.9,7.2937,224.99
L1cp->L3,synth_n30_L15p0km_hi0p4_s2h,34.8694,100100.26,10.2478,295.02
L1cp->L3,synth_n30_L15p0km_hi0p8_s6h,38.3222,75762.66,7.7547,243.2
L1cp->L3,synth_n30_L5p0km_hi0p1_s2h,14.3619,31356.14,3.2104,96.75
L1cp->L3,synth_n30_L5p0km_hi0p1_s6h,15.9542,23146.95,2.3699,79.83
L1cp->L3,synth_n30_L5p0km_hi0p4_s2h,14.4501,31581.22,3.2328,97.41
L1cp->L3,synth_n30_L5p0km_hi0p8_s2h,14.378,31397.02,3.2149,97.33
L1cp->L3,synth_n30_L5p0km_hi0p8_s6h,16.0151,23252.14,2.3807,79.83
