edge,length_m,dn,delay_h
SRC-N01,800,DN400,0.2222222222222222
N01-N02,1200,DN400,0.3333333333333333
N02-N03,950,DN300,0.2638888888888889
N03-N04,700,DN300,0.19444444444444445
N01-N05,600,DN250,0.16666666666666666
N02-N06,550,DN250,0.1527777777777778
N03-N07,500,DN200,0.1388888888888889
N04-N08,450,DN200,0.125
N05-N09,700,DN150,0.19444444444444445
N06-N10,650,DN150,0.18055555555555555
N07-N11,600,DN150,0.16666666666666666
N08-N12,550,DN125,0.1527777777777778
N10-N13,800,DN100,0.2222222222222222
N11-N14,750,DN100,0.20833333333333334
