Scenario,TES,HK,TAC [M€/a],LCOH [€/MWh],Δcost [%],CO₂ [t/a],Q_WP [MW],E_TES [MWh],COP
BC-SB,—,TVLFIX,35.265,51.67,0.0,62334,0.0,500.0,—
SB-S0-TVLFIX,—,TVLFIX,33.317,48.82,5.5,57478,6.6,500.0,—
SB-S0-HK0,—,HK0,33.420,48.97,5.2,57246,7.4,500.0,—
SB-S0-HK1,—,HK1,33.416,48.96,5.2,57220,7.3,500.0,—
SB-S0-HK2,—,HK2,33.485,49.06,5.0,57242,8.4,500.0,—
SB-S1-HK0,S1,HK0,20.461,29.98,42.0,43943,50.0,500.0,—
SB-S1-HK1,S1,HK1,20.461,29.98,42.0,43943,50.0,500.0,—
SB-S1-HK2,S1,HK2,20.461,29.98,42.0,43943,50.0,500.0,—
SB-S2-HK0,S2,HK0,20.459,29.98,42.0,43943,50.0,500.0,—
SB-S2-HK1,S2,HK1,20.459,29.98,42.0,43943,50.0,500.0,—
SB-S2-HK2,S2,HK2,20.459,29.98,42.0,43943,50.0,500.0,—
SB-S3-HK0,S3,HK0,20.462,29.98,42.0,43949,50.0,500.0,—
SB-S3-HK1,S3,HK1,20.462,29.98,42.0,43949,50.0,500.0,—
SB-S3-HK2,S3,HK2,20.462,29.98,42.0,43949,50.0,500.0,—
