pipe_id,from,to,length_m,diameter_mm,U_value_W_mK,R_resistance,m_dot_max_kg_s,v_max_m_s,dp_max_Pa,transport_delay_min,k_p_steps,annual_loss_MWh,annual_loss_share_pct,peak_velocity_m_s,peak_dp_bar,annual_pump_energy_MWh
j1_to_j2,j_1,j_2,350.0,450.0,0,,351.32626994635496,2.5,7281.236836674587,,3,130.50839759999417,13050.839759999417,0.8249355616259632,0.07281236836674587,
j2_to_j3,j_2,j_3,300.0,450.0,0,,351.32626994635496,2.5,7854.5975059450075,,3,111.86434080000946,11186.434080000945,0.8222730134199283,0.07854597505945007,
j3_to_j4,j_3,j_4,260.0,300.0,0,,156.14500886504666,2.5,10802.63864299925,,3,96.94909535999113,9694.909535999113,1.5622277422183561,0.10802638642999252,
j3_to_j9,j_3,j_9,450.0,350.0,0,,212.53070651075794,2.5,19164.327535054555,,3,167.79651119999204,16779.651119999206,0.35562221879507405,0.19164327535054554,
j4_to_j5,j_4,j_5,240.0,250.0,0,,108.4340339340602,2.5,57189.81556393203,,3,89.49147264000382,8949.147264000381,2.239934442920672,0.5718981556393203,
j5_to_j6,j_5,j_6,150.0,150.0,0,,39.036252216261666,2.5,15037.093214036191,,3,49.117125599998005,4911.712559999801,0.555050764489081,0.1503709321403619,
j5_to_j7,j_5,j_7,220.0,125.0,0,,27.10850848351505,2.5,25859.248357194458,,3,72.03845087999169,7203.845087999169,0.4256979228284096,0.2585924835719446,
j7_to_j8,j_7,j_8,80.0,100.0,0,,17.349445429449634,2.5,11364.883500933674,,3,26.19580031999729,2619.580031999729,0.356560243023964,0.11364883500933674,
j9_to_j10,j_9,j_10,200.0,300.0,0,,156.14500886504666,2.5,10074.492143606465,,3,74.57622720000744,7457.622720000743,0.4667749577738436,0.10074492143606466,
j10_to_j11,j_10,j_11,230.0,300.0,0,,156.14500886504666,2.5,10212.237265135933,,3,85.76266127999448,8576.266127999448,0.4667749577738436,0.10212237265135933,
j11_to_j12,j_11,j_12,250.0,300.0,0,,156.14500886504666,2.5,15932.878572490641,,3,93.22028399999324,9322.028399999324,0.4228773418769325,0.1593287857249064,
j12_to_j13,j_12,j_13,220.0,250.0,0,,108.4340339340602,2.5,12491.855851288978,,3,82.03384992000586,8203.384992000587,0.4791268223328422,0.12491855851288977,
j13_to_j14,j_13,j_14,180.0,125.0,0,,27.10850848351505,2.5,29985.061122803338,,3,58.940550719990824,5894.055071999082,0.7829432626509759,0.29985061122803336,
j13_to_j15,j_13,j_15,125.0,100.0,0,,17.349445429449634,2.5,14341.48275471569,,3,191.2882260000212,19128.82260000212,0.4420901896140118,0.1434148275471569,
